Date,Power_kW,temp_C,solarRad_W/m2,Holiday,Week Day,Hour,Power-1
2017-11-30 15:00:00,290.4041985,13.12,242.95000000000005,1.0,3,15,326.7739605
2017-11-30 16:00:00,251.954098,12.503333333333336,93.33583333333333,1.0,3,16,290.4041985
2017-11-30 17:00:00,241.2093605,11.152500000000002,5.864416666666667,1.0,3,17,251.954098
2017-11-30 18:00:00,208.16254650000002,10.310833333333333,2.451,1.0,3,18,241.2093605
2017-11-30 19:00:00,180.4373,9.815833333333332,2.36825,1.0,3,19,208.16254650000002
2017-11-30 20:00:00,146.011751,9.545833333333333,2.156166666666666,1.0,3,20,180.4373
2017-11-30 21:00:00,116.4532895,9.385833333333334,2.232416666666667,1.0,3,21,146.011751
2017-11-30 22:00:00,110.5004755,9.348333333333334,2.1515,1.0,3,22,116.4532895
2017-11-30 23:00:00,108.36398249999999,8.931666666666667,2.0915833333333333,1.0,3,23,110.5004755
2017-12-01 00:00:00,108.23900049999999,8.915000000000001,2.214,0.0,4,0,108.36398249999999
2017-12-01 01:00:00,102.15814549999999,8.890833333333333,2.1609166666666666,0.0,4,1,108.23900049999999
2017-12-01 02:00:00,102.12318549999999,9.249166666666666,2.146916666666667,0.0,4,2,102.15814549999999
2017-12-01 03:00:00,104.226685,8.788333333333334,2.0453333333333332,0.0,4,3,102.12318549999999
2017-12-01 04:00:00,101.9108035,8.499999999999998,2.1283333333333334,0.0,4,4,104.226685
2017-12-01 05:00:00,104.563175,8.633333333333333,2.1838333333333333,0.0,4,5,101.9108035
2017-12-01 07:00:00,103.63455,8.429166666666667,10.057500000000001,0.0,4,7,104.563175
2017-12-01 08:00:00,111.56566299999999,8.736666666666666,115.78916666666669,0.0,4,8,103.63455
2017-12-01 09:00:00,113.3685065,9.509166666666667,266.3,0.0,4,9,111.56566299999999
2017-12-01 10:00:00,118.5216105,11.12,392.9916666666666,0.0,4,10,113.3685065
2017-12-01 11:00:00,127.49038,12.155,471.6916666666666,0.0,4,11,118.5216105
2017-12-01 12:00:00,130.7322645,12.148333333333333,497.2166666666667,0.0,4,12,127.49038
2017-12-01 13:00:00,126.44376499999998,12.306666666666667,315.725,0.0,4,13,130.7322645
2017-12-01 14:00:00,122.951698,12.449166666666665,256.90000000000003,0.0,4,14,126.44376499999998
2017-12-01 15:00:00,123.0082895,12.619999999999997,182.1525,0.0,4,15,122.951698
2017-12-01 16:00:00,123.5073435,12.095833333333333,54.384166666666665,0.0,4,16,123.0082895
2017-12-01 17:00:00,123.13239750000001,11.794166666666667,4.886500000000001,0.0,4,17,123.5073435
2017-12-01 18:00:00,117.66225,11.158333333333333,2.2895833333333333,0.0,4,18,123.13239750000001
2017-12-01 19:00:00,108.15313,10.973333333333334,2.3170833333333336,0.0,4,19,117.66225
2017-12-01 20:00:00,108.33011499999999,10.795000000000002,2.3655833333333334,0.0,4,20,108.15313
2017-12-01 23:00:00,104.174245,9.804999999999998,2.2116666666666664,0.0,4,23,108.33011499999999
2017-12-02 07:00:00,101.2360755,6.064500000000002,9.09525,1.0,5,7,104.174245
2017-12-02 08:00:00,101.067175,6.517916666666667,114.41750000000002,1.0,5,8,101.2360755
2017-12-02 09:00:00,104.137537,7.556666666666665,264.52500000000003,1.0,5,9,101.067175
2017-12-02 10:00:00,106.8318605,8.2875,391.7833333333333,1.0,5,10,104.137537
2017-12-02 11:00:00,103.126756,8.528333333333334,472.6333333333334,1.0,5,11,106.8318605
2017-12-02 12:00:00,103.865723,9.350833333333334,497.35833333333335,1.0,5,12,103.126756
2017-12-02 13:00:00,107.5166395,10.491666666666665,465.15000000000003,1.0,5,13,103.865723
2017-12-02 14:00:00,103.8891025,11.0075,378.2333333333333,1.0,5,14,107.5166395
2017-12-02 15:00:00,105.22457450000002,11.219999999999999,245.64166666666665,1.0,5,15,103.8891025
2017-12-02 16:00:00,109.3301895,11.218333333333334,90.32083333333334,1.0,5,16,105.22457450000002
2017-12-02 17:00:00,102.9259545,10.493333333333334,5.568916666666667,1.0,5,17,109.3301895
2017-12-02 18:00:00,102.087133,9.603333333333333,2.098333333333333,1.0,5,18,102.9259545
2017-12-02 19:00:00,104.85815,9.045,2.243916666666667,1.0,5,19,102.087133
